"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="3702","大聯大","市","04/03","","91.7","-1.3","-1.4","4,342","400","93","92.3","93.2","91.6","1.72","20","2.06","    ","    ","    ","    ","    "
="3706","神達","市","04/03","","50","-0.1","-0.2","18,230","909","50.1","49.85","50.6","49.2","2.79","33.8","0.98","    ","    ","    ","    ","    "
="3711","日月光投控","市","04/03","","154.5","+1","+0.65","14,632","2,248","153.5","154","155","152","1.95","20.9","2.24","    ","    ","    ","    ","    "
="3714","富采","市","04/03","","38.6","-0.45","-1.15","1,345","51.9","39.05","39","39","38.4","1.54","","0.61","    ","    ","    ","    ","    "
="4736","泰博","市","04/03","","154","+0.5","+0.33","103","15.8","153.5","153","154.5","153","0.98","14.4","1.65","    ","    ","    ","    ","    "
="4904","遠傳","市","04/03","","80.6","-0.8","-0.98","5,198","421","81.4","81.2","81.6","80.6","1.23","23.6","3.23","    ","    ","    ","    ","    "
="4919","新唐","市","04/03","","127","+0.5","+0.4","1,586","201","126.5","126.5","127.5","125","1.98","22","3.19","    ","    ","    ","    ","    "
="4938","和碩","市","04/03","","97.4","-0.9","-0.92","10,526","1,030","98.3","98","98.8","97.2","1.63","16.5","1.37","    ","    ","    ","    ","    "
="4958","臻鼎-KY","市","04/03","","129.5","-2.5","-1.89","20,836","2,726","132","130","133.5","128.5","3.79","19.8","1.28","    ","    ","    ","    ","    "
="5269","祥碩","市","04/03","","2550","+15","+0.59","698","1,752","2535","2460","2550","2440","4.34","79.2","9.03","    ","    ","    ","    ","    "
="5388","中磊","市","04/03","","136","-1.5","-1.09","2,606","356","137.5","137","139","136","2.18","14.8","2.85","    ","    ","    ","    ","    "
="5534","長虹","市","04/03","","89.9","-0.3","-0.33","1,523","136","90.2","90.2","90.2","88.3","2.11","14.2","1.31","    ","    ","    ","    ","    "
="5871","中租-KY","市","04/03","","175.5","-0.5","-0.28","6,532","1,145","176","175","176","174","1.14","11.6","2.01","    ","    ","    ","    ","    "
="5880","合庫金","市","04/03","","26","-0.3","-1.14","13,928","363","26.3","26.3","26.3","26","1.14","22.2","1.59","    ","    ","    ","    ","    "
="6116","彩晶","市","04/03","","10.45","-0.15","-1.42","4,652","48.7","10.6","10.6","10.6","10.4","1.89","","0.72","    ","    ","    ","    ","    "
="6153","嘉聯益","市","04/03","","20.35","-0.3","-1.45","845","17.2","20.65","20.55","20.6","20.3","1.45","","0.92","    ","    ","    ","    ","    "
="6176","瑞儀","市","04/03","","174","0","0","4,749","823","174","172","175","170","2.87","15.3","2.36","    ","    ","    ","    ","    "
="6213","聯茂","市","04/03","","116.5","-1","-0.85","42,070","5,004","117.5","116.5","124.5","115.5","7.66","62.6","2.18","    ","    ","    ","    ","    "
="6239","力成","市","04/03","","191","0","0","5,200","992","191","189","193","188","2.62","17.8","2.6","    ","    ","    ","    ","    "
="6257","矽格","市","04/03","","71.8","-1.2","-1.64","3,103","223","73","72.1","72.6","71.5","1.51","18.9","1.95","    ","    ","    ","    ","    "
="6269","台郡","市","04/03","","91","-1","-1.09","1,241","114","92","92","92.2","91","1.3","14.1","1.16","    ","    ","    ","    ","    "
="6271","同欣電","市","04/03","","153","+1","+0.66","2,206","337","152","150.5","154","150","2.63","27.8","1.31","    ","    ","    ","    ","    "
